NOC,Weight,Medal,Gold,Silver,Bronze,NoMedal
FSM,0.0,1.6033316021483055,1.6022157128441645,0.00042253819835273514,0.0006933511057882858,4.039874055471837
COK,0.0,1.9102726632719236,1.5855426073072736,0.0004922155757673724,0.32423784038888254,5.904730246855527
LCA,0.0,1.5456928246409902,1.5448875932200978,0.0003049057219011565,0.000500325698991266,2.6902219184882203
MYA,0.0,1.9674427539178385,1.5352879965829307,0.0004251277621401774,0.43172962957276784,4.08286692984415
BOL,0.0,1.5923316074218652,1.512561902559617,0.030205278651334915,0.04956442621091324,6.096362492928672
MDV,0.0,1.5100735307444522,1.508974484092371,0.0004161606268226505,0.000682886025258604,4.102870107245424
CAM,0.0,1.7778861222515143,1.4914906059576518,0.0003829124774803122,0.2860126038163821,3.710396110408348
AND,0.0,1.4565540226340996,1.455525191013974,0.0003895732825496482,0.0006392583375761025,3.437254561960036
GBS,0.0,1.4085532822290274,1.4078396381987557,0.0002702256054406432,0.00044341842483119074,2.3842348453166595
SUR,0.0,1.8221303505237385,1.390349958021864,0.00028337226588296153,0.43149702023599146,2.500229500504901
MON,0.0,1.7959866366409103,1.3720741102874414,0.00033383407808021696,0.42357869227538847,3.3764925092147084
GAB,0.0,1.3173418380769084,1.3161684903960125,0.00044429515838829867,0.0007290525225076717,4.59192571402925
ZAM,0.0,1.3158775158582774,1.3141310193427265,0.0006613214127706761,0.0010851751027802705,6.8136938232231135
SMR,0.0,1.2941147832535642,1.2931405147023318,0.0003689126482544527,0.0006053559029779821,3.5783933152451914
OMA,0.0,1.294065728717662,1.2931383753483,0.00035114793239119594,0.0005762054369708322,3.0982228160901952
UAE,0.0,2.7858435587360724,1.2905085002923824,0.40300474501228556,1.0923303134314046,5.59988771951204
HON,0.0,1.5522795679802432,1.2382643603544172,0.0008517314214984952,0.3131634762043277,9.258623050836999
LES,0.0,1.239210608798582,1.2382075296443396,0.00037982195641256115,0.0006232571978296614,3.6746475270044576
LBR,0.0,1.2390797683271164,1.2382018234627394,0.0003324391047304341,0.0005455057596465993,2.933152452935396
BUR,0.0,1.5185915952437874,1.194026490412618,0.000429755836706722,0.3241353489944624,4.11522049626499
GUI,0.0,1.5185852213463888,1.1940262124358143,0.000427447579699761,0.3241315613308749,3.7714242971334535
COD,0.0,1.1950309728774846,1.194020800473402,0.0003825078581385243,0.0006276645459439746,3.582239358405211
LAO,0.0,1.1863472083275917,1.1855314133581567,0.000308905673108545,0.0005068892963264987,2.7255139961307915
NCA,0.0,1.1641134351961688,1.1625248728904762,0.0006015186740544327,0.0009870436316381968,6.161459918250239
CAF,0.0,1.1317821592650619,1.13061321815114,0.0004426265852931164,0.000726314528628909,4.787884996050557
BEN,0.0,1.1315562636592766,1.1306033664490265,0.00036082026141869575,0.000592076948831558,3.7227976151702804
BOT,0.0,1.1042149586525394,1.102883900652024,0.0005040131197186436,0.0008270448807967829,4.654295716929199
NEP,0.0,1.9063288460785237,1.086865068487078,0.14708201838529714,0.6723817592061485,5.362946879414324
PAR,0.0,1.6823426215004078,1.051876700648748,0.0006938201662900729,0.6297721006853698,7.8464161141662325
TAN,0.0,1.7002679659219426,1.051863557529846,0.0005846826559185175,0.6478197257361779,5.3660532827958445
YEM,0.0,1.469615720969026,1.0369858787240842,0.0006050215214990532,0.43202482072344284,5.338181743999837
SAM,0.0,1.7307671158647189,1.0309916428774692,0.0006000504838713739,0.6991754225033782,6.755455142503094
LBA,0.0,1.0003985935572692,0.9991810886151724,0.0004610155709979887,0.0007564893710987832,4.399509626458083
AFG,0.0,1.2853603781511793,0.9611275371734419,0.00039730536549533694,0.32383553561224215,4.044710323378239
ANT,0.0,0.9211678824126837,0.9203940872166931,0.0002930022062175122,0.00048079298977302603,2.90862584175675
GUY,0.0,0.9196568103627113,0.9185940949902998,0.0004024035692018637,0.0006603118032096829,4.529228797400056
PLW,0.0,0.8633826783792311,0.8621215657247016,0.00047752789366047364,0.0007835847608689866,5.1690184766129805
NIG,0.0,1.1868107151669343,0.8621214733751458,0.00047676104366984717,0.3242124807481186,5.042480785691525
VAN,0.0,1.1949841635708824,0.8621080812973468,0.00036555623447638406,0.33251052603905923,4.0874131541713155
MAW,0.0,0.862961745769421,0.8621032081180215,0.0003250904467800588,0.0005334472046193468,3.1917444646177207
SLE,0.0,0.8628610163766909,0.8620988151331832,0.0002886120863591141,0.000473589157148591,2.546461102214425
BIZ,0.0,0.8628606678873091,0.8620987999349523,0.0002884858836596517,0.00047338206869702176,2.8772582775051156
GEQ,0.0,0.862803866778275,0.8620963227393292,0.0002679158070266658,0.0004396282319191114,2.363855200481441
DJI,0.0,1.293794790194203,0.8620945300441828,0.000253029668766414,0.4314472304812539,2.5559430658546427
MTN,0.0,0.86265422384153,0.8620897965493616,0.0002137237898498805,0.00035070350231855823,1.8857121485667268
CPV,0.0,0.8626386987725754,0.8620891194739749,0.0002081015077577998,0.0003414777908425425,2.168016717173683
BHU,0.0,0.8624655500940064,0.8620815681575308,0.00014539707033330644,0.00023858486614225093,1.2828568222850092
TLS,0.0,0.8624556434187514,0.8620811361101113,0.00014180944550278753,0.0002326978631373362,1.2512027526460558
VIN,0.0,0.8078458440632202,0.8071609892646172,0.00025932438966937057,0.00042553040893365785,2.6114821880407115
COM,0.0,0.8078455088749598,0.8071609746464714,0.0002592030038668342,0.00042533122462146144,2.6104111856845065
MHL,0.0,0.807821417883792,0.8071599239962484,0.00025047864015438013,0.00041101524738931664,2.856865170663172
SOL,0.0,1.4400878459434536,0.8071585011633933,0.0002386637553741751,0.6326906810246861,2.105760632673392
DMA,0.0,0.8077887077659257,0.8071584974508483,0.00023863292723384837,0.00039157738784355116,2.1054886320749904
GAM,0.0,0.807704426539979,0.8071548217993061,0.0002081111415516519,0.00034149359912128834,1.836191039620287
IVB,0.0,0.807575974949926,0.8071492198009989,0.00016159340455744272,0.00026516174436959394,1.4257591366701006
TUV,0.0,1.1079544116619338,0.807148786361375,0.0001579942191743013,0.3006476310813844,1.394003066806747
BAN,0.0,0.7560347378736152,0.7545307653708958,0.0005694882362549988,0.0009344842664643504,7.027529258801268
PAK,0.0,0.7052747533507128,0.703426180695692,0.0006999731570846525,0.0011485994979360656,7.368657097058199
GHA,0.0,0.9783764731907842,0.6757954033844727,0.0008302769625898873,0.3017507928437216,8.279521594920281
TGA,0.0,0.9998867557630307,0.6757286121483075,0.0002756575237662066,0.323882486090957,2.4321613507549715
ARU,0.0,0.9482133025716746,0.6469023773556648,0.000349329072111921,0.30096159614389784,3.4140854585249136
ASA,0.0,0.4320960869948469,0.43107843462142065,0.0003853401935310392,0.0006323121798952231,4.378676466184928
STP,0.0,0.43169668091998925,0.43106101582454687,0.00024069841263573682,0.0003949666828066385,2.5547447013695312
SOM,0.0,0.4316732922280341,0.4310599958028197,0.00023222838108097796,0.0003810680441333813,2.4800125369587698
CHA,0.0,0.43146897636168685,0.4310510852308529,0.000158236990779374,0.00025965414005457704,1.7280557492595534
LIE,0.0,0.6999945944424388,0.3761180843945447,0.00016901527934109402,0.3237074947685531,2.245705464263108
SWZ,0.0,0.3972131777791355,0.31828918776369747,0.02988504363665631,0.049038946378781756,3.7019203060870502
NRU,0.0,0.2974649525972256,0.2971053746967859,0.00013615633527038019,0.00022342156516933423,1.5332353206546103
IOA,0.0,0.11726179625427188,0.005113991845867676,0.042465440835476924,0.06968236357292729,3.666870143322602
SCG,0.0,0.003619285485785181,0.00015784336462011482,0.0013106958836792664,0.0021507462374858,11.77114166831504
PLE,0.0,0.4321169857168669,4.731684955512109e-05,0.0003929085019812424,0.43167676036533054,4.876484642294104
KIR,0.0,0.4316566498648776,2.72407986277656e-05,0.00022620147964710948,0.4314032075866027,2.727224795281267
AHO,0.0,0.0005625452161658658,2.4533579906672314e-05,0.0002037213428197155,0.00033429029343947807,1.797459287743766
BRU,0.0,0.4314398947897517,1.7787731028999237e-05,0.00014770532734026753,0.43127440173138243,2.057685050618198
EUN,0.0,0.0,0.0,0.0,0.0,0.0533909735363762
TCH,0.0,0.0,0.0,0.0,0.0,0.0
